Model,Line Sort,Last Status,Line Type,Chassis Check In Status,Chassis Model,VIN,Final Destination,Capacity,Exit Factory Date,Current Exit Factory,Chassis Check In Date,Original SO,File Source,Model First 5 Chars,Related Order Number,Exit Factory Date Year & Week,Exit Factory Year,Exit Factory Week,Rear Loader 2512,Rear Loader (PKRRLSB),Manual Side Loader (PKRML),DC REFUSE STOCK
PKRMLMACTCPQ,3,530,,Checked-In,Side Loader,5VCACSCE5PC242020,WM OF FOREST GROVE,3142,2026-04-03,2026-04-03,2023-08-15,5331798,F4211,PKRML,03392250,2026 - 14,2026,14,0,0,1,0
PKRMLMACTCPQ,3,530,,Checked-In,Side Loader,5VCACSCE4TC253763,WM OF FOREST GROVE,3142,2026-04-10,2026-04-10,2026-02-03,5331799,F4211,PKRML,03392253,2026 - 15,2026,15,0,0,1,0
PKRMLMACTCPQ,3,520,,0,Side Loader,814175,RWS TEXAS LEASING COMPANY LLC,2842,2026-04-17,2026-04-17,null,5332695,F4211,PKRML,03392898,2026 - 16,2026,16,0,0,1,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,016506,MUNICIPAL GROUP OF COMPANIES,4029,2026-04-10,2026-04-10,null,5334666,F4211,PKRFL,03393434,2026 - 15,2026,15,0,0,0,0
PKRFL78CTCPQ,3,520,,0,Front Loader,813246,WCNX HEALY AK,4086,2026-04-16,2026-04-17,null,5335146,F4211,PKRFL,03393769,2026 - 16,2026,16,0,0,0,0
PKRRLTAGCTCPQ,1,530,HFL,Checked-In,Rear Loader,3HAEKTAT0TL115193,RUMPKE TRANSPORTATION CO LLC,2512,2026-04-03,2026-04-03,2026-02-16,5337927,F4211,PKRRL,03395222,2026 - 14,2026,14,1,0,0,0
PKRRLTAGCTCPQ,1,525,HFL,Checked-In,Rear Loader,3HAEKTAT2TL115566,RUMPKE TRANSPORTATION CO LLC,2512,2026-04-10,2026-04-10,2026-02-16,5337959,F4211,PKRRL,03395229,2026 - 15,2026,15,1,0,0,0
PKRRLTAGCTCPQ,1,530,HFL,Checked-In,Rear Loader,3HAEKTAT5TL115576,RUMPKE TRANSPORTATION CO LLC,2512,2026-04-10,2026-04-10,2026-02-17,5338170,F4211,PKRRL,03395444,2026 - 15,2026,15,1,0,0,0
PKRRLTAGCTCPQ,1,525,HFL,Checked-In,Rear Loader,3HAEKTAT4TL115990,RUMPKE TRANSPORTATION CO LLC,2512,2026-04-17,2026-04-17,2026-02-18,5338187,F4211,PKRRL,03395529,2026 - 16,2026,16,1,0,0,0
PKRRLTAGCTCPQ,1,525,HFL,Checked-In,Rear Loader,3HAEKTAT6TL117207,RUMPKE TRANSPORTATION CO LLC,2512,2026-04-17,2026-04-17,2026-02-18,5338219,F4211,PKRRL,03395480,2026 - 16,2026,16,1,0,0,0
PKRRLTAGCTCPQ,1,530,HFL,Checked-In,Rear Loader,3HAEKTAT2TL114689,RUMPKE TRANSPORTATION CO LLC,2512,2026-04-03,2026-04-03,2026-02-11,5339662,F4211,PKRRL,03396537,2026 - 14,2026,14,1,0,0,0
