Model,Line Sort,Last Status,Line Type,Chassis Check In Status,Chassis Model,VIN,Final Destination,Capacity,Exit Factory Date,Current Exit Factory,Chassis Check In Date,Original SO,File Source,Model First 5 Chars,Related Order Number,Exit Factory Date Year & Week,Exit Factory Year,Exit Factory Week,Rear Loader 2512,Rear Loader (PKRRLSB),Manual Side Loader (PKRML),DC REFUSE STOCK
PKRRL3.5HDCTCPQ,1,530,HFL,Checked-In,Rear Loader,1CYABAAC6V1007614,ATLANTIC HEAVY DUTY,2016,2026-04-10,2026-04-10,2026-02-12,5280337,F4211,PKRRL,03355968,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,530,,Checked-In,Front Loader,3BPDLK0X7TF768159,BIG TRUCK RENTAL LLC,4029,2026-04-03,2026-04-03,2025-09-15,5281734,F4211,PKRFL,03357317,2026 - 14,2026,14,0,0,0,0
PKREVFLZF,1,530,HFL,Checked-In,PKREVFLZF,4M9CGDKF4TM265241,RWS TEXAS LEASING COMPANY LLC 9079,4090,2026-04-10,2026-04-10,2026-03-03,5282885,F4211,PKREV,03358600,2026 - 15,2026,15,0,0,0,0
PKREVFLZF,1,530,HFL,Checked-In,PKREVFLZF,4M9CGDKFXTM265244,RWS TEXAS LEASING COMPANY LLC 9079,4090,2026-04-15,2026-04-15,2026-03-03,5282885,F4211,PKREV,03358613,2026 - 16,2026,16,0,0,0,0
PKRRLXCCTCPQ,1,520,HFL,0,Rear Loader,055718,CARLO MINUTO CARTING CO INC,3213,2026-04-17,2026-04-17,null,5282921,F4211,PKRRL,03358665,2026 - 16,2026,16,0,0,0,0
PKRRLXCCPQ,1,525,HFL,0,Rear Loader,015243,MEADOWBROOK INDUSTRIES LLC,3213,2026-04-10,2026-04-10,null,5282928,F4211,PKRRL,03358703,2026 - 15,2026,15,0,0,0,0
PKRRLXCCPQ,1,530,HFL,Checked-In,Rear Loader,1M2TE2GC2VM015248,MEADOWBROOK INDUSTRIES LLC,3213,2026-04-03,2026-04-03,2026-01-29,5282928,F4211,PKRRL,03358709,2026 - 14,2026,14,0,0,0,0
PKREVFLZF,1,530,HFL,Checked-In,PKREVFLZF,4M9CGDKF6TM265239,REPUBLIC SERVICES OF FAIRFIELD CA,4090,2026-04-02,2026-04-02,2026-03-03,5283404,F4211,PKREV,03359530,2026 - 14,2026,14,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,015214,LAWRENCE WASTE SERVICES,4029,2026-04-10,2026-04-10,null,5287248,F4211,PKRFL,03363192,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,530,,Checked-In,Front Loader,1M2TE2GC6VM015334,ACTIVE WASTE SOLUTIONS LLC,4029,2026-04-03,2026-04-03,2026-02-19,5287474,F4211,PKRFL,03363388,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCTCPQ,2,525,LFL,Checked-In,Rear Loader,1NKZL30X5TJ229090,DEKALB COUNTY,2516,2026-04-10,2026-04-10,2026-02-19,5288376,F4211,PKRRL,03364085,2026 - 15,2026,15,0,0,0,0
PKRFL78CTCPQ,3,525,,0,Front Loader,001278,ALLIED WASTE SERVICES OF SARONA,4086,2026-04-10,2026-04-10,null,5291301,F4211,PKRFL,03366490,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,5VCACRCE9TC253668,WM OF FORT WALTON BEACH,2948,2026-04-03,2026-04-03,2025-12-03,5291509,F4211,PKRAL,03366587,2026 - 14,2026,14,0,0,0,0
PKRFL78CTCPQ,3,530,,Checked-In,Front Loader,3BPDX20X9TF762268,WM OF BURNSVILLE TWIN CITIES,4086,2026-04-03,2026-04-03,2025-08-12,5292319,F4211,PKRFL,03367054,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1CYAADAC9V1007627,CITY OF CHARLOTTE AP DEPARTMENT,2848,2026-04-03,2026-04-03,2026-02-17,5300145,F4211,PKRAL,03371927,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1CYAADAC0V1007628,CITY OF CHARLOTTE AP DEPARTMENT,2848,2026-04-10,2026-04-10,2026-02-23,5300145,F4211,PKRAL,03371932,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1CYAADAC2V1007629,CITY OF CHARLOTTE AP DEPARTMENT,2848,2026-04-03,2026-04-03,2026-02-17,5300145,F4211,PKRAL,03371936,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1CYAADAC9V1007630,CITY OF CHARLOTTE AP DEPARTMENT,2848,2026-04-10,2026-04-10,2026-02-19,5300145,F4211,PKRAL,03371941,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GC1VM013642,ASPEN WASTE,2848,2026-04-10,2026-04-10,2026-02-23,5300229,F4211,PKRAL,03371961,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,0,Side Loader,013645,ASPEN WASTE,2848,2026-04-10,2026-04-10,null,5300229,F4211,PKRAL,03371973,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1M2LR2GC9VM013646,ASPEN WASTE,2848,2026-04-17,2026-04-17,2026-02-25,5300229,F4211,PKRAL,03371977,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GC1VM013737,ASPEN WASTE,2848,2026-04-03,2026-04-03,2026-02-16,5300229,F4211,PKRAL,03372015,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCTCPQ,1,525,HFL,Checked-In,Rear Loader,1M2LR2GC1TM012925,REPUBLIC SERVICES DBA FORRESTON HAULING,2516,2026-04-10,2026-04-10,2026-02-09,5300648,F4211,PKRRL,03372412,2026 - 15,2026,15,0,0,0,0
PKRRL3.5HDCTCPQ,1,530,HFL,Checked-In,Rear Loader,1M2LR2GC7TM012928,REPUBLIC SERVICES DBA FORRESTON HAULING,2516,2026-04-03,2026-04-03,2026-02-16,5300648,F4211,PKRRL,03372417,2026 - 14,2026,14,0,0,0,0
PKRFL78CTCPQ,3,530,,0,Front Loader,012915,REPUBLIC SERVICES DBA ROCK FALLS HAULING,4086,2026-04-10,2026-04-10,null,5302194,F4211,PKRFL,03373570,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,530,,Checked-In,Front Loader,1M2LR2GC1VM013687,TDI CAPITAL MANAGEMENT LLC,3629,2026-04-10,2026-04-10,2026-02-26,5302296,F4211,PKRFL,03373608,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,015022,REPUBLIC SERVICES OF COLORADO SPRINGS,4029,2026-04-10,2026-04-10,null,5303497,F4211,PKRFL,03374303,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,0,Side Loader,001236,REPUBLIC SERVICES DBA YORK WASTE,3148,2026-04-17,2026-04-17,null,5304604,F4211,PKRAL,03375016,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,0,Side Loader,001237,REPUBLIC SERVICES DBA YORK WASTE,3148,2026-04-10,2026-04-10,null,5304604,F4211,PKRAL,03375020,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,520,HFL,Checked-In,Side Loader,1NPDX20X5VD812909,ALLIED WASTE SERVICES OF RANCHO CORDOVA,2748,2026-04-17,2026-04-17,2026-03-03,5305174,F4211,PKRAL,03375513,2026 - 16,2026,16,0,0,0,0
PKRRLHDCTCPQ,1,530,HFL,Checked-In,Rear Loader,1M2GR2GC1TM055193,RWS TEXAS LEASING COMPANY LLC 9402,2811,2026-04-10,2026-04-10,2026-01-15,5305246,F4211,PKRRL,03375547,2026 - 15,2026,15,0,0,0,0
PKRFL78CTCPQ,3,520,,Checked-In,Front Loader,1NPDXKEX4VD810965,ALLIED WASTE SVCS HOMEDALE,4086,2026-04-17,2026-04-17,2026-03-03,5306396,F4211,PKRFL,03376323,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2NC0TM001238,REPUBLIC SERVICES OF EAST PETERSBURG,3148,2026-04-03,2026-04-03,2026-02-19,5306459,F4211,PKRAL,03376341,2026 - 14,2026,14,0,0,0,0
PKRFL78CTCPQ,3,525,,0,Front Loader,813435,REPUBLIC SERVICES,4086,2026-04-10,2026-04-10,null,5306733,F4211,PKRFL,03376632,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1M2LR2GC3TM012943,REPUBLIC SERVICES GRAND JUNCTION,2848,2026-04-10,2026-04-10,2026-02-25,5306915,F4211,PKRAL,03376720,2026 - 15,2026,15,0,0,0,0
PKRFLATLCTCPQ,3,525,,0,Front Loader,015316,FRONTIER WASTE,4029,2026-04-10,2026-04-10,null,5307506,F4211,PKRFL,03377106,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,0,Side Loader,013469,TRASH TAXI OF GEORGIA LLC,3148,2026-04-17,2026-04-17,null,5308744,F4211,PKRAL,03377896,2026 - 16,2026,16,0,0,0,0
PKRFLATLCTCPQ,3,520,,0,Front Loader,001461,ALLIED WASTE SERVICES OF BILLINGS,4029,2026-04-17,2026-04-23,null,5308772,F4211,PKRFL,03377911,2026 - 16,2026,16,0,0,0,0
PKRRLTAGCTCPQ,1,525,HFL,Checked-In,Rear Loader,5VCACSCE6TC253845,RUMPKE TRANSPORTATION CO LLC,2512,2026-04-17,2026-04-24,2026-02-18,5308784,F4211,PKRRL,03377923,2026 - 16,2026,16,1,0,0,0
PKRFL78CTCPQ,3,525,,Checked-In,Front Loader,1NPDX20X3VD813430,ALLIED WASTE SYSTEMS INC OF SAN DIEGO,4086,2026-04-10,2026-04-10,2026-03-02,5309801,F4211,PKRFL,03378359,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,1M2LR2GC7TM012945,REPUBLIC SERVICES OF COLORADO SPRINGS,2848,2026-04-10,2026-04-10,2026-02-23,5310001,F4211,PKRAL,03378664,2026 - 15,2026,15,0,0,0,0
PKRALZRCTCPQ,1,525,HFL,Checked-In,Side Loader,1M2LR2NC4TM001226,ALLIED WASTE SERVICES OF BILLINGS,2748,2026-04-17,2026-04-17,2026-02-25,5310827,F4211,PKRAL,03379188,2026 - 16,2026,16,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,5VCACRCE0TC253669,WM OF ALAMEDA COUNTY,2948,2026-04-03,2026-04-03,2026-02-04,5311139,F4211,PKRAL,03379297,2026 - 14,2026,14,0,0,0,0
PKRALZRCTCPQ,1,530,HFL,Checked-In,Side Loader,5VCACRCE7TC253670,WM OF ALAMEDA COUNTY,2948,2026-04-03,2026-04-03,2026-02-06,5311140,F4211,PKRAL,03379301,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCTCPQ,2,530,LFL,Checked-In,Rear Loader,1CYABDAC8V1007633,CITY OF CHARLOTTE AP DEPARTMENT,2516,2026-04-03,2026-04-03,2026-02-05,5311606,F4211,PKRRL,03379774,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCTCPQ,2,530,LFL,Checked-In,Rear Loader,1CYABDACXV1007634,CITY OF CHARLOTTE AP DEPARTMENT,2516,2026-04-03,2026-04-03,2026-02-05,5311606,F4211,PKRRL,03379779,2026 - 14,2026,14,0,0,0,0
PKRRL3.5HDCTCPQ,1,525,HFL,Checked-In,Rear Loader,1CYABDAC1V1007635,CITY OF CHARLOTTE AP DEPARTMENT,2516,2026-04-17,2026-04-17,2026-02-26,5311606,F4211,PKRRL,03379784,2026 - 16,2026,16,0,0,0,0
PKRRL3.5HDCTCPQ,1,525,HFL,Checked-In,Rear Loader,1CYABDAC3V1007636,CITY OF CHARLOTTE AP DEPARTMENT,2516,2026-04-17,2026-04-17,2026-03-02,5311606,F4211,PKRRL,03379789,2026 - 16,2026,16,0,0,0,0
PKRRL3.5HDCTCPQ,1,520,HFL,0,Rear Loader,007637,CITY OF CHARLOTTE AP DEPARTMENT,2516,2026-04-17,2026-04-17,null,5311606,F4211,PKRRL,03379794,2026 - 16,2026,16,0,0,0,0
